species,chr_length,read_count,gc_ref,reads_per_million_ref_bases,reads_per_million_reads_in_experiment,RPMM,bacteria_per_human_cell
1_CP012647_1_Cutibacterium_acnes_strain_KCOM_1861____ChDC_B594__chromosome__complete_genome_BAC,2522438,614,59.98621,243.41511,28023.73346,11111.11111,349.83237
1_CP016616_1_Microvirga_ossetica_strain_V5_3M_chromosome__complete_genome_BAC,5843140,788,63.49297,134.85900,35965.31264,6155.76908,193.81723
1_CP001854_1_Conexibacter_woesei_DSM_14684__complete_genome_BAC,6359369,605,72.73343,95.13521,27612.96212,4342.83253,136.72683
1_CP007440_1_Rhodoplanes_sp__Z2_YC6860__complete_genome_BAC,8193889,720,63.52644,87.87035,32861.70698,4011.14206,126.28589
1_CP015136_1_Luteitalea_pratensis_strain_DSM_100886__partial_sequence_BAC,7480314,650,67.22144,86.89479,29666.81880,3966.55886,124.88384
1_CP042968_1_Bradyrhizobium_paxllaeri_strain_LMTR_21_chromosome__complete_genome_BAC,8377719,566,62.51106,67.56015,25832.95299,3083.96447,97.09638
1_CP016428_1_Bradyrhizobium_icense_strain_LMTR_13__complete_genome_BAC,8322773,476,62.02534,57.19250,21725.23962,2610.65102,82.19616
1_CP016617_1_Microvirga_sp__V5_3M_plasmid_unnamed1__complete_sequence_BAC,1343367,73,61.59277,54.34095,3331.81196,2480.46211,78.09796
1_AP012057_1_Ilumatobacter_coccineus_YM16_304_DNA__complete_genome_BAC,4830181,169,67.29245,34.98834,7713.37289,1597.20253,50.28470
1_CP011271_1_Gemmata_sp__SH_PL17__complete_genome_BAC,9045424,313,64.22442,34.60315,14285.71429,1579.53169,49.73110
1_CP014234_1_Moraxella_osloensis_strain_CCUG_350__complete_genome_BAC,2434688,69,43.85408,28.34036,3149.24692,1293.58830,40.73033
1_CP007128_1_Gemmatirosa_kalamazoonesis_strain_KBS708__complete_genome_BAC,5311527,145,72.56090,27.29910,6617.98266,1246.13269,39.23384
1_CP021112_1_Pseudorhodoplanes_sinuspersici_strain_RIPI110_chromosome__complete_genome_BAC,5971615,155,60.31568,25.95611,7074.39525,1184.83412,37.30371
1_CP000413_1_Lactobacillus_gasseri_ATCC_33323__complete_genome_BAC,1894360,42,35.25961,22.17108,1916.93291,1012.04819,31.86392
1_CP019082_1_Paludisphaera_borealis_strain_PX4__complete_genome_BAC,7497544,162,66.31876,21.60709,7393.88407,986.30137,31.05337
1_CP000245_1_Ramlibacter_tataouinensis_TTB310__complete_genome_BAC,4070193,84,69.99671,20.63786,3833.86581,942.02086,29.66040
1_CP000250_1_Rhodopseudomonas_palustris_HaA2__complete_genome_BAC,5331656,102,66.03838,19.13100,4655.40849,873.28767,27.49478
1_AP014946_1_Variibacter_gotjawalensis_DNA__complete_genome_BAC,4586237,87,62.23466,18.96979,3970.78959,865.93013,27.26308
1_CP000747_1_Phenylobacterium_zucineum_HLK1__complete_genome_BAC,3996255,75,71.34637,18.76755,3423.09448,856.65334,26.97242
1_CP002026_1_Starkeya_novella_DSM_506__complete_genome_BAC,4765023,82,67.88473,17.20874,3742.58330,785.51585,24.73213
1_CP020618_1_Staphylococcus_hominis_subsp__hominis_strain_K1_chromosome__complete_genome_BAC,2253412,36,31.35787,15.97579,1643.08535,729.18777,22.96015
1_CP011125_1_Sandaracinus_amylolyticus_strain_DSM_53668__complete_genome_BAC,10327335,159,72.03592,15.39603,7256.96029,702.79349,22.12693
1_CP000509_1_Nocardioides_sp__JS614__complete_genome_BAC,4985871,75,71.65195,15.04251,3423.09448,686.62455,21.61886
1_CP000319_1_Nitrobacter_hamburgensis_X14__complete_genome_BAC,4406967,65,61.71378,14.74936,2966.68188,673.29604,21.19755
1_CP013979_1_Agromyces_aureus_strain_AR33__complete_genome_BAC,4373124,63,70.39252,14.40619,2875.39936,657.62004,20.70435
1_CP000386_1_Rubrobacter_xylanophilus_DSM_9941__complete_genome_BAC,3225748,45,70.47658,13.95024,2053.85669,636.76242,20.04907
1_CP017147_1_Bosea_vaviloviae_strain_Vaf18_chromosome__complete_genome_BAC,6373793,87,65.54623,13.64965,3970.78959,623.07527,19.61706
1_CP003364_1_Singulisphaera_acidiphila_DSM_18658__complete_genome_BAC,9629675,129,62.26606,13.39608,5887.72250,611.49033,19.25264
1_AP012320_1_Rubrivivax_gelatinosus_IL144_DNA__complete_genome_BAC,5043253,66,71.24314,13.08680,3012.32314,597.39319,18.80814
1_CP001013_1_Leptothrix_cholodnii_SP_6__complete_genome_BAC,4909403,61,68.89968,12.42514,2784.11684,567.17806,17.85722
1_CP000494_1_Bradyrhizobium_sp__BTAi1__complete_genome_BAC,8264687,102,64.92015,12.34166,4655.40849,563.38028,17.73724
1_BA000040_2_Bradyrhizobium_diazoefficiens_USDA_110_DNA__complete_genome_BAC,9105828,112,64.05938,12.29981,5111.82109,561.45980,17.67710
1_AP012603_1_Bradyrhizobium_oligotrophicum_S58_DNA__complete_genome_BAC,8264165,100,65.12624,12.10044,4564.12597,552.36412,17.39057
1_CP011270_1_Planctomyces_sp__SH_PL14__complete_genome_BAC,8442773,98,65.55931,11.60756,4472.84345,529.84429,16.68221
1_CP001196_1_Oligotropha_carboxidovorans_OM5_strain_OM5__complete_genome_BAC,3745629,42,62.39948,11.21307,1916.93291,511.82062,16.11524
1_CP012946_1_Blastochloris_viridis_strain_ATCC_19567__complete_genome_BAC,3724841,41,67.93294,11.00718,1871.29165,502.45098,15.81935
1_AE015929_1_Staphylococcus_epidermidis_ATCC_12228__complete_genome_BAC,2499279,27,32.09518,10.80311,1232.31401,493.15068,15.52606
1_AP012338_1_Phycisphaera_mikurensis_NBRC_102666_DNA__complete_genome_BAC,3803225,40,73.28780,10.51740,1825.65039,480.07681,15.11545
1_CP015318_1_Mesorhizobium_amorphae_CCNWGS0123__complete_genome_BAC,6268270,65,63.43597,10.36969,2966.68188,473.34693,14.90315
1_AP012206_1_Bradyrhizobium_japonicum_USDA_6_DNA__complete_genome_BAC,9207384,95,63.66558,10.31781,4335.91967,470.97318,14.82860
1_CP015005_1_Aminobacter_aminovorans_strain_KCTC_2477__complete_genome_BAC,5623946,58,63.44835,10.31304,2647.19306,470.77922,14.82173
1_CP015079_1_Nocardioides_dokdonensis_FR1436__complete_genome_BAC,4376707,45,72.25585,10.28170,2053.85669,469.33667,14.77669
1_AP014648_1_Methyloceanibacter_caenitepidi_DNA__complete_genome__strain__Gela4_BAC,3424964,35,62.84232,10.21910,1597.44409,466.48007,14.68673
1_CP015118_1_Rhizobacter_gummiphilus_strain_NS21__complete_genome_BAC,6398096,65,69.72346,10.15927,2966.68188,463.75571,14.60074
1_CP000555_1_Methylibium_petroleiphilum_PM1__complete_genome_BAC,4044195,41,69.19775,10.13798,1871.29165,462.75395,14.57014
1_CP004036_1_Sphingomonas_sp__MM_1__complete_genome_BAC,4054833,41,67.16809,10.11140,1871.29165,461.55578,14.53194
1_CP011971_1_Steroidobacter_denitrificans_strain_DSM_18526__complete_genome_BAC,3467246,35,61.66170,10.09446,1597.44409,460.76883,14.50759
