species,chr_length,read_count,gc_ref,reads_per_million_ref_bases,reads_per_million_reads_in_experiment,RPMM,bacteria_per_human_cell
1_CP016616_1_Microvirga_ossetica_strain_V5_3M_chromosome__complete_genome_BAC,5843140,356,63.49297,60.92615,39732.14286,6799.08327,1189.96066
1_CP042968_1_Bradyrhizobium_paxllaeri_strain_LMTR_21_chromosome__complete_genome_BAC,8377719,335,62.51106,39.98701,37388.39286,4462.50167,780.99430
1_CP016428_1_Bradyrhizobium_icense_strain_LMTR_13__complete_genome_BAC,8322773,290,62.02534,34.84417,32366.07143,3888.44194,680.54838
1_CP001854_1_Conexibacter_woesei_DSM_14684__complete_genome_BAC,6359369,199,72.73343,31.29241,22209.82143,3491.84067,611.17824
1_CP007440_1_Rhodoplanes_sp__Z2_YC6860__complete_genome_BAC,8193889,256,63.52644,31.24279,28571.42857,3486.31350,610.20918
1_CP016294_1_Stenotrophomonas_rhizophila_strain_QL_P4__complete_genome_BAC,4198652,112,66.84855,26.67524,12500.00000,2977.13982,520.99943
1_CP016617_1_Microvirga_sp__V5_3M_plasmid_unnamed1__complete_sequence_BAC,1343367,34,61.59277,25.30948,3794.64286,2823.92027,494.32454
1_CP007128_1_Gemmatirosa_kalamazoonesis_strain_KBS708__complete_genome_BAC,5311527,132,72.56090,24.85160,14732.14286,2773.10924,485.38147
1_CP017480_1_Luteibacter_rhizovicinus_DSM_16549_strain_LJ96T_chromosome__complete_genome_BAC,4765486,108,64.72181,22.66294,12053.57143,2529.27400,442.63433
1_CP000747_1_Phenylobacterium_zucineum_HLK1__complete_genome_BAC,3996255,84,71.34637,21.01965,9375.00000,2345.71349,410.53903
1_AP012206_1_Bradyrhizobium_japonicum_USDA_6_DNA__complete_genome_BAC,9207384,168,63.66558,18.24623,18750.00000,2036.11683,356.37080
1_CP042170_1_Flavobacterium_sp__KBS0721_chromosome__complete_genome_BAC,5867608,106,34.12757,18.06528,11830.35714,2015.97566,352.83652
1_CP000250_1_Rhodopseudomonas_palustris_HaA2__complete_genome_BAC,5331656,83,66.03838,15.56738,9263.39286,1737.12851,304.04968
1_CP029425_1_Bradyrhizobium_ottawaense_strain_OO99_chromosome__complete_genome_BAC,8606328,120,63.82952,13.94323,13392.85714,1556.01660,272.32791
1_CP015401_2_Bacteroides_caecimuris_strain_I48_chromosome__complete_genome_BAC,4839927,67,42.61337,13.84318,7477.67857,1544.84667,270.37381
1_CP015118_1_Rhizobacter_gummiphilus_strain_NS21__complete_genome_BAC,6398096,76,69.72346,11.87853,8482.14286,1325.65847,232.00186
1_CP000245_1_Ramlibacter_tataouinensis_TTB310__complete_genome_BAC,4070193,45,69.99671,11.05599,5022.32143,1233.89087,215.93683
1_CP000319_1_Nitrobacter_hamburgensis_X14__complete_genome_BAC,4406967,48,61.71378,10.89184,5357.14286,1215.49759,212.73064
1_CP003470_1_Rhodanobacter_denitrificans_strain_2APBS1__complete_genome_BAC,4225490,43,67.45426,10.17633,4799.10714,1135.76334,198.75601
1_CP009896_1_Pimelobacter_simplex_strain_VKM_Ac_2033D__complete_genome_BAC,5637360,57,72.85020,10.11112,6361.60714,1128.26603,197.48221
1_CP019082_1_Paludisphaera_borealis_strain_PX4__complete_genome_BAC,7497544,72,66.31876,9.60315,8035.71429,1071.58803,187.56103
1_CP021112_1_Pseudorhodoplanes_sinuspersici_strain_RIPI110_chromosome__complete_genome_BAC,5971615,56,60.31568,9.37769,6250.00000,1046.53336,183.15752
1_CP015136_1_Luteitalea_pratensis_strain_DSM_100886__partial_sequence_BAC,7480314,68,67.22144,9.09053,7589.28571,1014.47113,177.54899
1_CP023284_1_Variovorax_boronicumulans_strain_J1_chromosome__complete_genome_BAC,7137898,63,68.00942,8.82613,7031.25000,984.99062,172.38481
1_CP015079_1_Nocardioides_dokdonensis_FR1436__complete_genome_BAC,4376707,38,72.25585,8.68232,4241.07143,968.89342,169.57613
1_CP011130_1_Lysobacter_capsici_strain_55__complete_genome_BAC,6391889,53,66.61607,8.29176,5915.17857,925.27933,161.94796
1_CP000699_1_Sphingomonas_wittichii_RW1__complete_genome_BAC,5382261,44,68.39752,8.17500,4910.71429,912.29525,159.66764
1_AP014946_1_Variibacter_gotjawalensis_DNA__complete_genome_BAC,4586237,37,62.23466,8.06761,4129.46429,900.24331,157.57011
1_CP000685_1_Flavobacterium_johnsoniae_UW101__complete_genome_BAC,6096872,49,34.11285,8.03691,5468.75000,896.94307,156.97050
1_CP009571_1_Sphingomonas_taxi_strain_ATCC_55669__complete_genome_BAC,3859099,31,68.00149,8.03296,3459.82143,896.47195,156.89336
1_CP021237_1_Sphingobacteriaceae_bacterium_GW460_11_11_14_LB5_chromosome__complete_genome_BAC,6182066,48,39.18077,7.76439,5357.14286,866.42599,151.64784
1_CP011271_1_Gemmata_sp__SH_PL17__complete_genome_BAC,9045424,68,64.22442,7.51762,7589.28571,838.88478,146.82806
1_CP004036_1_Sphingomonas_sp__MM_1__complete_genome_BAC,4054833,30,67.16809,7.39858,3348.21429,825.53660,144.50321
1_BA000040_2_Bradyrhizobium_diazoefficiens_USDA_110_DNA__complete_genome_BAC,9105828,66,64.05938,7.24810,7366.07143,808.82353,141.56415
1_CP001196_1_Oligotropha_carboxidovorans_OM5_strain_OM5__complete_genome_BAC,3745629,27,62.39948,7.20840,3013.39286,804.52920,140.78870
1_CP011502_1_Aeromicrobium_erythreum_strain_AR18__complete_genome_BAC,3629239,26,72.13777,7.16403,2901.78571,799.50800,139.92218
1_CP000494_1_Bradyrhizobium_sp__BTAi1__complete_genome_BAC,8264687,59,64.92015,7.13880,6584.82143,796.65136,139.42939
1_CP003364_1_Singulisphaera_acidiphila_DSM_18658__complete_genome_BAC,9629675,68,62.26606,7.06150,7589.28571,788.04033,137.91959
1_CP000509_1_Nocardioides_sp__JS614__complete_genome_BAC,4985871,35,71.65195,7.01984,3906.25000,783.34825,137.10585
1_CP012946_1_Blastochloris_viridis_strain_ATCC_19567__complete_genome_BAC,3724841,25,67.93294,6.71170,2790.17857,748.95147,131.08750
1_AP012057_1_Ilumatobacter_coccineus_YM16_304_DNA__complete_genome_BAC,4830181,31,67.29245,6.41798,3459.82143,716.26617,125.35085
1_AP012603_1_Bradyrhizobium_oligotrophicum_S58_DNA__complete_genome_BAC,8264165,53,65.12624,6.41323,5915.17857,715.63597,125.25817
1_CP011300_1_Devosia_sp__H5989__complete_genome_BAC,4594249,29,64.79227,6.31224,3236.60714,704.39641,123.28558
1_CP000927_1_Caulobacter_sp__K31__complete_genome_BAC,5477872,34,67.46330,6.20679,3794.64286,692.60542,121.22609
1_CP000115_1_Nitrobacter_winogradskyi_Nb_255__complete_genome_BAC,3402093,21,62.04901,6.17268,2343.75000,688.75041,120.55977
1_CP006958_1_UNVERIFIED__Achromobacter_xylosoxidans_NBRC_15126___ATCC_27061__complete_genome_BAC,6683584,41,67.53203,6.13444,4575.89286,684.58841,119.81291
1_CP010836_1_Sphingomonas_hengshuiensis_strain_WHSC_8__complete_genome_BAC,5191536,31,66.69791,5.97125,3459.82143,666.38005,116.62573
